date,value1,value2,value3,value4,value5
2015-11-15,42815417.08278383,45820202.04027048,39521935.87696698,41332192.62986602,232428.83613168998
2015-11-16,41540030.04715154,45079592.1343013,38785923.15290594,42392677.91236031,232428.83613168998
2015-11-17,42531728.87055808,46329028.596793726,39871867.725598656,41876351.007585995,232428.83613168998
2015-11-18,41553275.493108965,44846097.21769279,40327811.93323609,43609167.00538877,232428.83613168998
2015-11-19,42997799.58853628,44530466.059828155,39429563.46386757,41428171.400455534,232428.83613168998
2015-11-20,41609150.86978225,44151729.973639876,38450169.953837,41417829.47901398,232428.83613168998
2015-11-21,41237170.84110883,42793539.950285174,38978891.53009001,41499979.59297223,232428.83613168998
2015-11-22,41619115.11802589,42186865.38274037,38865267.40749934,39563730.970796615,139456.88099515
2015-11-23,40139666.062347166,42067087.66675229,38428376.99554584,40268530.69638898,139456.88099515
2015-11-24,40492556.09261427,41783772.65475901,37582685.13572692,39292665.31212622,139456.88099515
2015-11-25,39851177.126139626,42351402.17491211,37824458.3374456,39872515.18732839,139456.88099515
2015-11-26,39747695.661224835,46378347.37025687,36586774.16423684,39849102.69597254,139456.88099515
2015-11-27,41188061.29619235,43409593.634620234,37417762.91621583,40403049.50960739,139456.88099515
2015-11-28,40559535.25531774,42099864.93833758,37514040.76351485,39124544.256916545,139456.88099515
2015-11-29,39647053.78818332,43983902.93904058,37860780.64544847,41312741.43753648,200425.2388328
2015-11-30,40599616.33920204,43110488.50002241,37801015.52725486,39868767.99932205,200425.2388328
2015-12-01,39578650.22586345,42837023.3074864,35968620.55132697,38938015.87009646,200425.2388328
2015-12-02,38922414.00455725,42033980.99902647,36181278.973307036,39533227.90351109,200425.2388328
2015-12-03,39258687.96583169,44033089.78392331,38370285.298982225,40540724.31604906,200425.2388328
2015-12-04,40868186.26788229,43851174.325163126,39707194.034797676,41969834.21537665,200425.2388328
2015-12-05,41634233.25804482,46504508.383271374,38442953.12571284,41279620.666104324,200425.2388328
2015-12-06,42068965.141878724,45082653.0328383,39384321.16578126,40778980.731118195,351103.14828582015
2015-12-07,41070137.50677983,44439343.453906804,38938897.47306748,41413427.129548885,351103.14828582015
2015-12-08,41518949.15844565,46997212.837690204,39733394.43889412,44024447.31750581,351103.14828582015
2015-12-09,44645198.65591115,50409035.60641402,39612340.08722,45369970.25806389,351103.14828582015
2015-12-10,46093565.338025935,47730108.0736697,42616007.200909756,44429763.33533862,351103.14828582015
2015-12-11,44434652.26253769,50911090.32680308,42352105.91464675,47731023.25277958,351103.14828582015
2015-12-12,47460736.67848366,51782530.41630479,40491947.08882128,45739864.00597539,351103.14828582015
2015-12-13,45498129.43531921,49688575.73927803,42707063.793476336,46941569.85765283,379996.74133701005
2015-12-14,46849650.824300334,50729622.40196496,43655031.76313722,45942757.76440593,379996.74133701005
2015-12-15,46595018.2629094,49493538.59400552,43379528.8030565,46243823.94563866,379996.74133701005
2015-12-16,46278745.501861535,49742753.3159157,42928699.45813937,47330471.50242064,379996.74133701005
2015-12-17,45853883.07282971,48590293.459784724,44249432.75136398,46400708.91147251,379996.74133701005
2015-12-18,44961069.52849595,50081229.55702133,42981318.26675048,46641094.3378826,379996.74133701005
2015-12-19,46425129.4205546,48616839.58684677,44046231.189051144,45801238.60685334,379996.74133701005
2015-12-20,45361276.256469995,48044295.19822548,42408192.80402866,44241395.80653116,216350.13281936
2015-12-21,43914049.61547633,47169650.718459,41541965.64570274,44412925.12606098,216350.13281936
2015-12-22,44108889.32776691,47355561.922248326,42809503.56497604,44326541.85280775,216350.13281936
2015-12-23,44163202.06578938,46616558.08771468,42493617.31870767,44190352.27972551,216350.13281936
2015-12-24,43969251.65577436,49183247.92638381,43224728.06984068,47327177.1569324,216350.13281936
2015-12-25,46780567.29271085,51183958.29660538,44804690.60043648,48071538.02457631,216350.13281936
2015-12-26,48423273.62719312,54845927.3082819,42272920.23499048,47056423.82023272,216350.13281936
2015-12-27,46961342.57673156,51300175.48777822,44810345.51245881,47879665.095206484,362249.66674479004
2015-12-28,48048888.61877425,53387624.41403783,45299751.24457573,49272780.015032955,362249.66674479004
2015-12-29,48471818.683609806,52428154.61072372,45058923.20330763,49729569.53235298,362249.66674479004
2015-12-30,49052867.3922661,57881860.31091221,46832983.92816491,50263165.520983174,362249.66674479004
2015-12-31,51003599.10226186,54273166.93935339,46195322.49279457,49964987.33553863,362249.66674479004
2016-01-01,49535246.168514654,52907213.93583936,47947647.73909685,49962814.787892476,362249.66674479004
2016-01-02,50165066.27661004,53015715.209154546,48720547.485817164,50030868.69350165,362249.66674479004
2016-01-03,49664591.19247305,52757814.315403186,47296089.220240355,49920981.033102416,198537.97044014995
2016-01-04,50692228.63460617,52849575.044071235,48654084.4588079,50741128.671553634,198537.97044014995
2016-01-05,50505001.39763058,53225645.94687169,49175527.94408285,51210436.46877723,198537.97044014995
2016-01-06,50722849.588115945,52557524.047339536,48783776.50687108,50419812.74720073,198537.97044014995
2016-01-07,50425742.73104514,55807702.99385738,43671362.669132344,50422077.65821526,198537.97044014995
2016-01-08,50501657.24974384,55981765.7745978,46918217.90053083,51677547.402996056,198537.97044014995
2016-01-09,51747485.52300653,59765028.8731535,50140934.48454823,53598740.387278534,198537.97044014995
2016-01-10,54210036.78735986,56758927.31565024,48436307.5863801,53105072.58332941,821166.6619390101
2016-01-11,53058335.64036881,55774049.34552604,49817949.8967432,53106768.760075524,821166.6619390101
2016-01-12,52432582.833572485,56879829.17630273,48911759.84533304,53304868.056349926,821166.6619390101
2016-01-13,52641206.775784746,56253246.94137235,50602838.883080445,54382632.190134466,821166.6619390101
2016-01-14,55379259.646345526,59679005.00195341,52514702.77513306,55484909.72964274,821166.6619390101
2016-01-15,55606906.73860103,61565469.42944816,44957638.0294056,50013032.3301564,821166.6619390101
2016-01-16,49729290.22003836,60730529.853432275,45643506.05985631,54078163.65663404,821166.6619390101
2016-01-17,54702919.15985093,66497243.130066864,51402300.20909696,60865564.83049785,1283717.7887969904
2016-01-18,61263557.07177484,64416675.62843866,54766284.64763787,58609748.83205464,1283717.7887969904
2016-01-19,58449938.14701088,60963581.7944658,52569877.9960081,54532304.69245101,1283717.7887969904
2016-01-20,54587746.923820935,66272979.88498789,51693744.66516361,61845965.97526466,1283717.7887969904
2016-01-21,62181405.337649636,67318179.76306622,58360254.719150074,64879026.39519933,1283717.7887969904
2016-01-22,64939148.192332104,80226555.67034915,57994300.87328391,64060293.68742036,1283717.7887969904
2016-01-23,63701047.225678965,67912399.42765744,56527939.57954926,59885514.52321872,1283717.7887969904
2016-01-24,61088102.39255636,67602320.26075833,55628551.99672531,62686395.65657849,914033.4047559398
2016-01-25,62949040.150579564,67349716.81481765,54987942.353767045,62347700.09233984,914033.4047559398
2016-01-26,62058624.19302148,87955147.82902348,59061462.82115893,80563316.33758356,914033.4047559398
2016-01-27,80314847.08778626,99375071.27582091,74670008.0104972,89694228.60544825,914033.4047559398
2016-01-28,89233748.47753428,104546493.85284011,71422059.34725927,79245523.47642754,914033.4047559398
2016-01-29,79757279.073182,83438088.48875868,69560847.06193964,77012816.98072368,914033.4047559398
2016-01-30,77575458.68367897,80203903.1137246,65683309.15422991,69221773.9576279,914033.4047559398
2016-01-31,69746458.53211679,76955629.76436743,58924519.31723523,68967523.2157661,1484863.4943793698
2016-02-01,69361766.17937595,75274019.80538619,66064979.80014081,69236049.79988842,1484863.4943793698
2016-02-02,69606550.50036654,72456978.7869975,66092604.53545716,68492458.47506781,1484863.4943793698
2016-02-03,68399217.15085189,72008270.86289187,65448880.111489244,68860697.73691353,1484863.4943793698
2016-02-04,68839225.12264374,77101195.85132733,66753967.112176836,72714196.17072462,1484863.4943793698
2016-02-05,72275190.44202982,77458075.9042671,70536750.95947056,75819323.40013956,1484863.4943793698
2016-02-06,74680589.16121559,81144994.20058134,71584712.40887219,73690568.141597,1484863.4943793698
2016-02-07,74361468.04916191,77661674.85788439,69780847.22068904,72696061.87439625,835642.15074725
2016-02-08,72751466.74266374,75938578.0516552,69960050.40173247,71656911.81600556,835642.15074725
2016-02-09,71373957.42173198,75356736.55252354,68936048.40283512,71061478.59475549,835642.15074725
2016-02-10,70971786.54402258,76835930.25504683,68378060.74129203,71062961.22676694,835642.15074725
