date,value1,value2,value3,value4,value5
2017-06-04,17902141337.02733,19409357201.34424,16532449504.872948,18298531997.92666,1796067876.3498702
2017-06-05,18300019029.468628,19684362838.339455,17648408491.895927,18594159526.2296,1796067876.3498702
2017-06-06,18624855327.64676,20066219177.25688,16877970636.41423,18892467091.47,1796067876.3498702
2017-06-07,18860048986.378235,20465694779.3926,17207677734.56137,18096212073.37153,1796067876.3498702
2017-06-08,18075587805.254013,19959532196.026863,17358353541.8985,19091811315.299774,1796067876.3498702
2017-06-09,19027543555.326134,20633810789.712288,18390384165.497505,19274484356.127518,1796067876.3498702
2017-06-10,19247770028.32216,20804553721.922165,17303340814.283974,18232506535.88353,1796067876.3498702
2017-06-11,18183236303.387756,20497435923.11281,17295644032.919098,19350675085.395493,3643335952.81357
2017-06-12,19349580550.614075,20509982771.782135,15882994486.291115,17556483946.294495,3643335952.81357
2017-06-13,17537246486.304123,19932105096.16416,17117929184.245316,18819867373.460754,3643335952.81357
2017-06-14,18775834975.439026,21055613468.50408,16392590499.450493,17843904134.051888,3643335952.81357
2017-06-15,17767908348.717636,18517984760.939392,14414600920.266415,17180060624.87047,3643335952.81357
2017-06-16,17122374950.260162,18262123633.328682,15944803074.58963,17517302342.256416,3643335952.81357
2017-06-17,17522686044.253494,19131739429.870377,16441137664.500313,18447557793.56048,3643335952.81357
2017-06-18,18469966037.753418,19591167805.18605,17082222503.74733,18291494606.320663,3695536990.0858917
2017-06-19,18293792170.4765,19822346632.17234,17687116124.311623,19395280811.60933,3695536990.0858917
2017-06-20,19387007103.764503,22126111200.53859,18256237657.368423,20511136625.704346,3695536990.0858917
2017-06-21,20460900086.65767,21088785645.57081,17245892680.54384,18611924698.329292,3695536990.0858917
2017-06-22,18617114998.833885,19633225498.77182,17247492966.345657,19031389360.660866,3695536990.0858917
2017-06-23,19029381746.337242,20299394314.370804,18530048559.697662,19697698509.009865,3695536990.0858917
2017-06-24,19720235980.11693,20523768147.489693,17448434845.09075,18579853282.81642,3695536990.0858917
2017-06-25,18611422141.17656,19151430950.46205,16501457234.699364,17308718816.603607,1833983355.1149435
2017-06-26,17330124175.18199,18054635693.117447,14126749760.058449,16307662726.654663,1833983355.1149435
2017-06-27,16308690351.985184,17587475901.386726,14471595624.756866,17237321849.829994,1833983355.1149435
2017-06-28,17270266185.083054,18083895232.67286,16121822021.853287,17745764516.605515,1833983355.1149435
2017-06-29,17714666250.778145,18009999030.154457,16430437043.172546,16846740059.854164,1833983355.1149435
2017-06-30,16849641730.665512,17369758259.007812,15942112866.431427,16286848906.503967,1833983355.1149435
2017-07-01,16316188471.152687,16788272786.383392,15112398489.802292,15481982658.622948,1833983355.1149435
2017-07-02,15474255710.54676,16633434459.455544,14978553304.27304,16265383216.396103,1693326079.483341
2017-07-03,16270813720.698402,16926050560.9944,15594348014.831223,16429046094.56733,1693326079.483341
2017-07-04,16396539902.38134,17285595553.446144,15985768038.116486,16400247394.200363,1693326079.483341
2017-07-05,16381687400.605156,17251748982.867195,15757115000.581223,16654893065.68232,1693326079.483341
2017-07-06,16647071316.45546,17232192990.395256,16051876771.132889,16739982079.210655,1693326079.483341
2017-07-07,16731230836.23278,16874882833.983345,14684603297.9488,14917428900.172546,1693326079.483341
2017-07-08,14909829939.976067,15511584258.080338,13635208801.436867,15211181859.076874,1693326079.483341
2017-07-09,15246815143.021492,15989075319.552773,14547553449.43724,14658882920.748787,1828684719.1589134
2017-07-10,14668773015.47322,14868155422.118813,10974947519.86161,11938628903.039238,1828684719.1589134
2017-07-11,11919704661.134163,12903884688.499992,9662728027.282455,11381442742.672592,1828684719.1589134
2017-07-12,11326870828.633125,13138744251.207138,10543966558.345024,12970469626.279572,1828684719.1589134
2017-07-13,12939732771.088516,14044301985.899574,11663475990.105751,12431759122.978851,1828684719.1589134
2017-07-14,32495353229.310402,35417558335.5836,28878054355.958855,32895377098.35296,1828684719.1589134
2017-07-15,32775838349.52703,33949285833.476234,28410841188.834713,29001276379.548355,1828684719.1589134
2017-07-16,28987475115.10379,30295630410.25112,23239209185.78472,26534292796.939484,1866567677.4240384
2017-07-17,26579290868.718857,32737614054.7334,26018890674.422302,31936556145.268845,1866567677.4240384
2017-07-18,32016079776.87182,39774267235.272156,29961964142.05316,37558220108.156525,1866567677.4240384
2017-07-19,37560940277.31969,39584969242.28609,30258259070.094086,31630125725.648834,1866567677.4240384
2017-07-20,32360129877.415466,44328650882.857895,28732766516.18151,37801732429.57556,1866567677.4240384
2017-07-21,37681291597.76781,41218049454.96713,34287535676.547943,36150028247.84953,1866567677.4240384
2017-07-22,36126454218.00145,40769121238.66977,34992825574.49483,39060034627.409195,1866567677.4240384
2017-07-23,38974543509.61836,40532940132.92386,35779582478.36163,38267723442.82312,1690708301.7157195
2017-07-24,38308670278.05234,39429812855.28328,36757791743.24391,38116777025.90851,1690708301.7157195
2017-07-25,38082796681.35428,38599578097.36539,31122924070.448624,34085874766.307373,1690708301.7157195
2017-07-26,34024530974.429886,35545394112.86539,31106012846.89926,33780374362.28473,1690708301.7157195
